epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2843.22,1.30111,1.18773,1.45256,0.82203,0.74084,0.84549,0.49267,1.46471,1.05193,1.59347,0.007096,0.007096,0.007096
90,2875.11,1.27562,1.15889,1.43542,0.6114,0.69924,0.68453,0.36157,1.57995,1.37169,1.66072,0.007063,0.007063,0.007063
91,2906.96,1.27878,1.17679,1.44219,0.71889,0.69687,0.77146,0.41718,1.61856,1.23341,1.67506,0.00703,0.00703,0.00703
92,2938.8,1.28055,1.18456,1.45761,0.64461,0.80678,0.82052,0.46543,1.53988,1.06841,1.62807,0.006997,0.006997,0.006997
93,2970.79,1.2715,1.17308,1.4407,0.58157,0.56212,0.62586,0.34623,1.59433,1.58856,1.68158,0.006964,0.006964,0.006964
94,3002.58,1.27749,1.17173,1.44436,0.73951,0.65912,0.78113,0.38981,1.66955,1.27509,1.70127,0.006931,0.006931,0.006931
95,3034.46,1.27581,1.16782,1.43684,0.67398,0.66547,0.71045,0.401,1.6151,1.39485,1.67324,0.006898,0.006898,0.006898
96,3066.33,1.2648,1.15845,1.43594,0.80272,0.6601,0.77085,0.39481,1.75493,1.24255,1.75751,0.006865,0.006865,0.006865
97,3098.09,1.27465,1.17754,1.43663,0.69762,0.76341,0.8085,0.45061,1.43918,1.1214,1.558,0.006832,0.006832,0.006832
98,3129.93,1.27361,1.17154,1.44033,0.78752,0.64028,0.76637,0.38806,1.73259,1.33393,1.74292,0.006799,0.006799,0.006799
99,3161.9,1.28134,1.14994,1.43505,0.70435,0.5784,0.66334,0.36172,1.71378,1.76601,1.77323,0.006766,0.006766,0.006766
100,3193.75,1.27568,1.16612,1.43964,0.64107,0.69546,0.67953,0.37579,1.63587,1.48678,1.76658,0.006733,0.006733,0.006733
101,3225.76,1.27798,1.17154,1.4406,0.7779,0.68409,0.79003,0.41303,1.60367,1.25079,1.70991,0.0067,0.0067,0.0067
102,3257.6,1.25882,1.13542,1.42139,0.73799,0.71681,0.76887,0.41661,1.53573,1.11632,1.62655,0.006667,0.006667,0.006667
103,3289.46,1.26156,1.1431,1.42921,0.58457,0.67551,0.6031,0.31898,1.77279,1.79407,2.00334,0.006634,0.006634,0.006634
104,3321.27,1.25941,1.1402,1.42626,0.70303,0.68269,0.68728,0.32671,1.84645,1.78605,1.94118,0.006601,0.006601,0.006601
105,3353.15,1.27003,1.14674,1.43267,0.68683,0.76516,0.80183,0.45849,1.52117,1.0644,1.67198,0.006568,0.006568,0.006568
106,3384.91,1.24993,1.12299,1.42196,0.78668,0.71127,0.78585,0.38594,1.67218,1.27686,1.68075,0.006535,0.006535,0.006535
107,3416.79,1.26331,1.14168,1.43045,0.69524,0.74024,0.79283,0.40944,1.56448,1.16253,1.67309,0.006502,0.006502,0.006502
108,3448.71,1.24844,1.13388,1.41741,0.73002,0.76853,0.81868,0.44607,1.58598,1.04085,1.64479,0.006469,0.006469,0.006469
109,3480.62,1.26695,1.1376,1.42973,0.76295,0.76418,0.82115,0.46238,1.48456,0.98591,1.57951,0.006436,0.006436,0.006436
110,3512.63,1.26296,1.13155,1.42565,0.73225,0.70599,0.7812,0.40188,1.59875,1.19455,1.69889,0.006403,0.006403,0.006403
111,3544.66,1.26554,1.13686,1.42999,0.76279,0.8089,0.83852,0.43599,1.49498,1.04426,1.58232,0.00637,0.00637,0.00637
112,3576.7,1.25964,1.12856,1.42384,0.59023,0.75169,0.75581,0.41236,1.4913,1.17127,1.61293,0.006337,0.006337,0.006337
113,3608.7,1.23552,1.11246,1.39673,0.75564,0.68745,0.78821,0.43654,1.49867,1.09035,1.62598,0.006304,0.006304,0.006304
114,3640.6,1.2517,1.11867,1.4118,0.6634,0.79055,0.79658,0.43968,1.49148,1.05772,1.60799,0.006271,0.006271,0.006271
115,3672.48,1.23595,1.11918,1.40436,0.65264,0.78177,0.78373,0.44896,1.50366,1.0163,1.56123,0.006238,0.006238,0.006238
116,3704.28,1.24072,1.09988,1.40438,0.81133,0.57138,0.68402,0.37366,1.74371,1.51574,1.89566,0.006205,0.006205,0.006205
117,3736.17,1.25363,1.10837,1.4147,0.81482,0.73685,0.81662,0.4459,1.47872,1.03206,1.60334,0.006172,0.006172,0.006172
118,3768,1.2326,1.08795,1.40631,0.74641,0.73281,0.80101,0.4684,1.4758,1.00627,1.57402,0.006139,0.006139,0.006139
119,3799.75,1.24226,1.09944,1.40758,0.81692,0.75736,0.84049,0.47184,1.44294,1.03767,1.58609,0.006106,0.006106,0.006106
120,3831.56,1.22472,1.0994,1.40276,0.6373,0.7657,0.78828,0.46735,1.49552,1.0341,1.58534,0.006073,0.006073,0.006073
121,3863.44,1.2227,1.07348,1.39444,0.70403,0.69226,0.73786,0.43877,1.48149,1.21603,1.57588,0.00604,0.00604,0.00604
122,3895.3,1.2344,1.10189,1.39993,0.73582,0.74792,0.82276,0.44756,1.5082,1.04383,1.58836,0.006007,0.006007,0.006007
123,3927.24,1.22905,1.10854,1.40173,0.85805,0.71445,0.81292,0.46574,1.46625,1.06865,1.57142,0.005974,0.005974,0.005974
124,3959.08,1.23505,1.09157,1.39752,0.75135,0.68484,0.74872,0.41815,1.58741,1.15851,1.65677,0.005941,0.005941,0.005941
125,3990.89,1.23024,1.08847,1.40198,0.7225,0.7443,0.81084,0.46913,1.46952,1.05536,1.56661,0.005908,0.005908,0.005908
126,4022.75,1.22957,1.06159,1.39977,0.64845,0.80554,0.78063,0.44971,1.57731,1.12539,1.68969,0.005875,0.005875,0.005875
127,4054.64,1.21502,1.06916,1.39442,0.75226,0.70261,0.7607,0.447,1.48597,1.22333,1.65151,0.005842,0.005842,0.005842
128,4086.52,1.23558,1.0775,1.40889,0.75215,0.77912,0.80509,0.46639,1.40653,1.01976,1.51708,0.005809,0.005809,0.005809
129,4118.54,1.23013,1.09172,1.39908,0.82334,0.79649,0.83628,0.4882,1.44459,1.03981,1.58037,0.005776,0.005776,0.005776
130,4150.49,1.23392,1.08862,1.40581,0.78803,0.74964,0.81548,0.46487,1.47275,1.01438,1.5949,0.005743,0.005743,0.005743
131,4182.37,1.20846,1.06252,1.39223,0.70105,0.77428,0.80734,0.4555,1.55275,0.99247,1.631,0.00571,0.00571,0.00571
132,4214.26,1.21858,1.05858,1.38097,0.69822,0.80899,0.83894,0.4682,1.46311,1.00763,1.57096,0.005677,0.005677,0.005677
133,4246.23,1.21642,1.0475,1.38173,0.73406,0.80852,0.81899,0.47529,1.50373,0.97757,1.61891,0.005644,0.005644,0.005644
134,4278.17,1.22489,1.07026,1.39584,0.85807,0.72205,0.81962,0.44441,1.48833,1.02484,1.6023,0.005611,0.005611,0.005611
135,4310.03,1.21392,1.06165,1.38726,0.81991,0.80132,0.86116,0.48982,1.43045,0.94091,1.6056,0.005578,0.005578,0.005578
136,4342.02,1.22218,1.06287,1.3906,0.73992,0.76997,0.8221,0.46356,1.44615,0.99274,1.5529,0.005545,0.005545,0.005545
137,4373.94,1.19639,1.03967,1.37514,0.75041,0.7667,0.79717,0.48059,1.42697,1.07709,1.55516,0.005512,0.005512,0.005512
138,4405.69,1.20721,1.0456,1.38212,0.63165,0.78652,0.7973,0.47958,1.37792,1.01507,1.54087,0.005479,0.005479,0.005479
139,4437.75,1.19804,1.03025,1.36589,0.76923,0.70287,0.8153,0.44542,1.48132,1.07326,1.61387,0.005446,0.005446,0.005446
140,4469.76,1.20602,1.05256,1.3826,0.78161,0.65508,0.74764,0.42895,1.51818,1.3171,1.65139,0.005413,0.005413,0.005413
141,4501.57,1.21098,1.03538,1.39046,0.82877,0.737,0.82216,0.47789,1.47833,1.01556,1.55545,0.00538,0.00538,0.00538
142,4533.63,1.18765,1.04611,1.37194,0.74233,0.781,0.82815,0.46208,1.49893,1.04101,1.61336,0.005347,0.005347,0.005347
143,4565.64,1.20695,1.05007,1.39061,0.66409,0.78745,0.8085,0.4354,1.49579,1.1118,1.59319,0.005314,0.005314,0.005314
144,4597.56,1.19279,1.04738,1.37562,0.66634,0.79075,0.77375,0.43981,1.40976,1.08221,1.55413,0.005281,0.005281,0.005281
145,4629.54,1.19469,1.03815,1.36949,0.73226,0.77725,0.81179,0.46394,1.4112,1.03863,1.54307,0.005248,0.005248,0.005248
146,4661.45,1.19988,1.03007,1.37753,0.66726,0.82944,0.81001,0.46554,1.42098,1.02211,1.53816,0.005215,0.005215,0.005215
147,4693.26,1.1917,1.00917,1.36654,0.81372,0.75243,0.85768,0.46872,1.46578,0.96738,1.54911,0.005182,0.005182,0.005182
148,4725.25,1.18885,1.03332,1.36245,0.70958,0.76834,0.81052,0.43381,1.54525,1.06566,1.59089,0.005149,0.005149,0.005149
149,4757.17,1.19238,1.01917,1.37232,0.70524,0.73758,0.78292,0.45776,1.47228,1.03052,1.55083,0.005116,0.005116,0.005116
150,4789.01,1.19125,1.02885,1.36929,0.74712,0.70973,0.74926,0.40052,1.59075,1.21027,1.65019,0.005083,0.005083,0.005083
151,4821.13,1.18733,1.02649,1.3695,0.66538,0.82054,0.79661,0.4363,1.44795,1.03317,1.59086,0.00505,0.00505,0.00505
152,4853.08,1.19941,1.01859,1.37879,0.74291,0.82079,0.79913,0.44916,1.48834,1.01179,1.58844,0.005017,0.005017,0.005017
153,4885.01,1.16579,1.0098,1.35748,0.73428,0.82508,0.8131,0.47482,1.39843,1.01706,1.53894,0.004984,0.004984,0.004984
154,4916.82,1.17933,1.01593,1.35666,0.75753,0.74656,0.80627,0.44036,1.47495,1.06436,1.57163,0.004951,0.004951,0.004951
155,4948.81,1.18069,1.01975,1.36777,0.66424,0.76267,0.79183,0.45394,1.48033,1.03278,1.5785,0.004918,0.004918,0.004918
156,4980.69,1.16353,0.99505,1.36319,0.70079,0.78455,0.8128,0.46671,1.45858,0.99102,1.608,0.004885,0.004885,0.004885
157,5012.67,1.18144,1.00545,1.36797,0.69241,0.77202,0.82623,0.45435,1.48458,1.00313,1.58919,0.004852,0.004852,0.004852
158,5044.48,1.16188,1.00384,1.35352,0.72577,0.68388,0.78998,0.42804,1.49615,1.08046,1.6138,0.004819,0.004819,0.004819
159,5076.38,1.15314,0.98864,1.35264,0.87238,0.65523,0.8121,0.43275,1.54873,1.03976,1.64615,0.004786,0.004786,0.004786
160,5108.29,1.17513,1.01301,1.35831,0.6762,0.75292,0.77676,0.42562,1.53266,1.05631,1.62464,0.004753,0.004753,0.004753
161,5140.16,1.16169,0.99308,1.34705,0.73052,0.80773,0.83097,0.45507,1.44409,0.95064,1.55927,0.00472,0.00472,0.00472
162,5172.03,1.16608,0.99326,1.35677,0.70387,0.77496,0.77982,0.43212,1.52386,1.05648,1.59367,0.004687,0.004687,0.004687
163,5203.93,1.15758,0.99199,1.347,0.69001,0.84367,0.81269,0.46115,1.43874,0.93577,1.57107,0.004654,0.004654,0.004654
164,5235.79,1.16166,0.99225,1.3497,0.74698,0.82485,0.8486,0.46871,1.42198,0.97302,1.55259,0.004621,0.004621,0.004621
165,5267.69,1.14969,0.98909,1.35021,0.70821,0.84898,0.85083,0.45817,1.51026,0.96913,1.63408,0.004588,0.004588,0.004588
166,5299.69,1.15442,0.97559,1.34082,0.81088,0.7453,0.82114,0.45896,1.4637,0.98476,1.5873,0.004555,0.004555,0.004555
167,5331.85,1.15892,0.97619,1.34232,0.70655,0.86907,0.86388,0.50697,1.43453,0.92144,1.5722,0.004522,0.004522,0.004522
168,5363.9,1.1473,0.98162,1.34577,0.72732,0.764,0.81088,0.45048,1.5612,0.99503,1.62634,0.004489,0.004489,0.004489
169,5395.9,1.1536,0.9857,1.34726,0.73028,0.78038,0.81917,0.461,1.56925,0.98433,1.65139,0.004456,0.004456,0.004456
170,5427.79,1.15527,0.9702,1.34416,0.71303,0.8268,0.85484,0.4746,1.46192,0.95703,1.60743,0.004423,0.004423,0.004423
171,5459.7,1.143,0.97531,1.34172,0.79935,0.8104,0.85088,0.47444,1.4549,0.94651,1.5639,0.00439,0.00439,0.00439
172,5491.58,1.14428,0.95696,1.33955,0.69049,0.81274,0.80876,0.45627,1.50204,0.9961,1.61915,0.004357,0.004357,0.004357
173,5523.52,1.15271,0.9644,1.34178,0.69295,0.74955,0.82011,0.46955,1.45764,0.97846,1.55564,0.004324,0.004324,0.004324
174,5555.39,1.14593,0.97318,1.3464,0.77276,0.77829,0.85385,0.49084,1.41206,0.94379,1.55154,0.004291,0.004291,0.004291
175,5587.24,1.16063,0.97911,1.34257,0.85117,0.71044,0.84436,0.48367,1.43937,0.93287,1.63254,0.004258,0.004258,0.004258
176,5619.12,1.14925,0.97771,1.33312,0.75362,0.76968,0.80955,0.48379,1.36259,0.97623,1.49466,0.004225,0.004225,0.004225
177,5651.13,1.14756,0.96102,1.33493,0.69058,0.80066,0.82112,0.47177,1.40258,0.98009,1.53041,0.004192,0.004192,0.004192
178,5683,1.13055,0.94881,1.31357,0.68028,0.81311,0.8033,0.45716,1.42822,0.98818,1.59997,0.004159,0.004159,0.004159
179,5714.92,1.14183,0.95785,1.33417,0.77527,0.73804,0.8246,0.47364,1.4544,0.94101,1.53834,0.004126,0.004126,0.004126
180,5746.8,1.13274,0.95597,1.33696,0.79242,0.699,0.81299,0.46288,1.46777,1.01946,1.59145,0.004093,0.004093,0.004093
181,5778.62,1.14537,0.95526,1.33148,0.68406,0.85041,0.83222,0.48332,1.44593,0.98084,1.52157,0.00406,0.00406,0.00406
182,5810.46,1.13207,0.93636,1.32154,0.82958,0.72012,0.83478,0.47523,1.4224,0.98295,1.54838,0.004027,0.004027,0.004027
183,5842.49,1.13426,0.94049,1.32685,0.64182,0.83154,0.76756,0.45569,1.43823,1.04396,1.57391,0.003994,0.003994,0.003994
184,5874.37,1.12819,0.95422,1.31933,0.67788,0.84819,0.81745,0.48781,1.4286,0.98354,1.53897,0.003961,0.003961,0.003961
185,5906.29,1.12326,0.9357,1.31981,0.67123,0.85182,0.82082,0.493,1.44187,0.98337,1.5821,0.003928,0.003928,0.003928
186,5938.13,1.12043,0.9078,1.31329,0.71271,0.76241,0.80026,0.46109,1.46815,1.04825,1.55878,0.003895,0.003895,0.003895
187,5970,1.13209,0.9332,1.31748,0.80511,0.74237,0.82453,0.47465,1.4744,0.99184,1.57756,0.003862,0.003862,0.003862
188,6002.01,1.119,0.92916,1.3179,0.81635,0.72042,0.81269,0.46592,1.45925,0.99816,1.5971,0.003829,0.003829,0.003829
